dht11,21:10:06,27.1,61
dht11,21:10:06,27.1,61
dht11,21:10:09,27.1,61
dht11,21:10:09,27.1,61
dht11,21:10:12,27.1,61
dht11,21:10:12,27.1,61
dht11,21:10:15,27.1,59
dht11,21:10:15,27.1,59
dht11,21:10:17,27.1,59
dht11,21:10:17,27.1,59
dht11,21:10:20,27.1,61
dht11,21:10:20,27.1,61
dht11,21:10:22,27.1,61
dht11,21:10:22,27.1,61
dht11,21:39:04,27.1,61
dht11,21:39:04,27.1,61
dht11,21:39:06,27.1,59
dht11,21:39:06,27.1,59
dht11,21:39:09,27.1,62
dht11,21:39:09,27.1,62
dht11,22:01:54,27,60
dht11,22:01:54,27,60
dht11,22:01:57,27,60
dht11,22:01:57,27,60
dht11,22:02:00,27,60
dht11,22:02:00,27,60
dht11,22:02:02,27,59
dht11,22:02:02,27,59
dht11,22:02:05,27.1,61
dht11,22:02:05,27.1,61
dht11,22:02:07,27,60
dht11,22:02:07,27,60
dht11,22:02:10,27.1,60
dht11,22:02:10,27.1,60
